uniprot_id	protein_name	gene_names	protein_full_name
O14745	NHRF1	NHERF1 NHERF SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)
Q8IWV7	UBR1	UBR1	E3 ubiquitin-protein ligase UBR1 (EC 2.3.2.27) (N-recognin-1) (Ubiquitin-protein ligase E3-alpha-1) (Ubiquitin-protein ligase E3-alpha-I)
Q6ZNE5	BAKOR	ATG14 ATG14L KIAA0831	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)
Q96KR6	F210B	FAM210B C20orf108 PSEC0265	Protein FAM210B, mitochondrial
Q5JVL4	EFHC1	EFHC1	EF-hand domain-containing protein 1 (Myoclonin-1)
Q08378	GOGA3	GOLGA3	Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160)
Q96AY2	EME1	EME1 MMS4	Structure-specific endonuclease subunit EME1 (Crossover junction endonuclease EME1) (Essential meiotic structure-specific endonuclease 1) (MMS4 homolog) (hMMS4)
P62750	RL23A	RPL23A	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)
Q96B02	UBE2W	UBE2W UBC16	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W)
Q9Y266	NUDC	NUDC	Nuclear migration protein nudC (Nuclear distribution protein C homolog)
O00255	MEN1	MEN1 SCG2	Menin
P78356	PI42B	PIP4K2B PIP5K2B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)
Q969Q1	TRI63	TRIM63 IRF MURF1 RNF28 SMRZ	E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Iris RING finger protein) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (RING finger protein 28) (RING-type E3 ubiquitin transferase TRIM63) (Striated muscle RING zinc finger protein) (Tripartite motif-containing protein 63)
O60664	PLIN3	PLIN3 M6PRBP1 TIP47	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)
U3KQK0	U3KQK0	H2BC15 HIST1H2BN hCG_1743059	Histone H2B
P16070	CD44	CD44 LHR MDU2 MDU3 MIC4	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)
P11274	BCR	BCR BCR1 D22S11	Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)
P49641	MA2A2	MAN2A2 MANA2X	Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)
Q9P2G9	KLHL8	KLHL8 KIAA1378	Kelch-like protein 8
O75081	MTG16	CBFA2T3 MTG16 MTGR2 ZMYND4	Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4)
Q8WXH0	SYNE2	SYNE2 KIAA1011 NUA	Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)
Q5JRX3	PREP	PITRM1 KIAA1104 MP1 PREP	Presequence protease, mitochondrial (hPreP) (EC 3.4.24.-) (Pitrilysin metalloproteinase 1) (Metalloprotease 1) (hMP1)
Q96MX0	CKLF3	CMTM3 CKLFSF3	CKLF-like MARVEL transmembrane domain-containing protein 3 (Chemokine-like factor superfamily member 3)
P01106	MYC	MYC BHLHE39	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)
Q9BSJ8	ESYT1	ESYT1 FAM62A KIAA0747 MBC2	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)
P23246	SFPQ	SFPQ PSF	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)
Q6P1Q0	LTMD1	LETMD1	LETM1 domain-containing protein 1 (Cervical cancer 1 proto-oncogene protein p40) (Cervical cancer proto-oncogene 2 protein) (HCCR-1) (HCRR-2)
Q8TDR4	TCP1L	TCP10L PRED77	T-complex protein 10A homolog 1 (T-complex protein 10A-1) (TCP10A-1) (TCP10-like)
P84022	SMAD3	SMAD3 MADH3	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)
Q13263	TIF1B	TRIM28 KAP1 RNF96 TIF1B	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)
O00422	SAP18	SAP18 GIG38	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)
Q12906	ILF3	ILF3 DRBF MPHOSPH4 NF90	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)
Q86V59	PNM8A	PNMA8A PNMAL1	Paraneoplastic antigen-like protein 8A (PNMA-like protein 1)
Q92764	KRT35	KRT35 HHA5 HKA5 KRTHA5	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)
P02751	FINC	FN1 FN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]
Q9P2J5	SYLC	LARS1 KIAA1352 LARS	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)
P40337	VHL	VHL	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)
Q09328	MGT5A	MGAT5 GGNT5	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase V) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]
P60903	S10AA	S100A10 ANX2LG CAL1L CLP11	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)
Q9NS23	RASF1	RASSF1 RDA32	Ras association domain-containing protein 1
Q13177	PAK2	PAK2	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]
Q6PI77	GASP3	GPRASP3 BHLHB9 KIAA1701	G protein-coupled receptor associated sorting protein 3 (Protein BHLHb9) (bHLHb9) (Transcription regulator of 60 kDa) (p60TRP)
O60504	VINEX	SORBS3 SCAM1	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)
P55072	TERA	VCP HEL-220 HEL-S-70	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)
Q9BX63	FANCJ	BRIP1 BACH1 FANCJ	Fanconi anemia group J protein (EC 5.6.2.3) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1) (DNA 5'-3' helicase FANCJ)
P31513	FMO3	FMO3	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase)
Q9GZQ8	MLP3B	MAP1LC3B MAP1ALC3	Microtubule-associated protein 1 light chain 3 beta (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (Microtubule-associated proteins 1A/1B light chain 3B) (MAP1A/MAP1B LC3 B) (MAP1A/MAP1B light chain 3 B)
Q5T4B2	GT253	CERCAM CEECAM1 GLT25D3 KIAA1502	Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)
P02775	CXCL7	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]
Q96GM8	TOE1	TOE1	Target of EGR1 protein 1
Q96RK4	BBS4	BBS4	BBSome complex member BBS4 (Bardet-Biedl syndrome 4 protein)
P08962	CD63	CD63 MLA1 TSPAN30	CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Lysosome integral membrane protein 1) (Limp1) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63)
Q9NUH8	TM14B	TMEM14B	Transmembrane protein 14B
Q9HAV4	XPO5	XPO5 KIAA1291 RANBP21	Exportin-5 (Exp5) (Ran-binding protein 21)
Q12772	SRBP2	SREBF2 BHLHD2 SREBP2	Sterol regulatory element-binding protein 2 (SREBP-2) (Class D basic helix-loop-helix protein 2) (bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)]
P78310	CXAR	CXADR CAR	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)
O14771	ZN213	ZNF213 ZKSCAN21	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)
O94905	ERLN2	ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)
Q96JN2	CC136	CCDC136 KIAA1793 NAG6	Coiled-coil domain-containing protein 136 (Nasopharyngeal carcinoma-associated gene 6 protein)
Q9NZ94	NLGN3	NLGN3 KIAA1480 NL3	Neuroligin-3 (Gliotactin homolog)
Q9NRX1	PNO1	PNO1	RNA-binding protein PNO1 (Partner of NOB1)
P60410	KR108	KRTAP10-8 KAP10.8 KAP18-8 KRTAP10.8 KRTAP18-8 KRTAP18.8	Keratin-associated protein 10-8 (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8)
Q15654	TRIP6	TRIP6 OIP1	Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1)
Q9UPZ9	CILK1	CILK1 ICK KIAA0936	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Ciliogenesis associated kinase 1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)
O75078	ADA11	ADAM11 MDC	Disintegrin and metalloproteinase domain-containing protein 11 (ADAM 11) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein) (MDC)
P11142	HSP7C	HSPA8 HSC70 HSP73 HSPA10	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)
P30291	WEE1	WEE1	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)
Q13557	KCC2D	CAMK2D CAMKD	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)
Q5JR59	MTUS2	MTUS2 CAZIP KIAA0774 TIP150	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)
Q8IWZ5	TRI42	TRIM42	Tripartite motif-containing protein 42
O95182	NDUA7	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)
A0PK00	T120B	TMEM120B	Transmembrane protein 120B
Q9NRI5	DISC1	DISC1 KIAA0457	Disrupted in schizophrenia 1 protein
Q96FZ5	CKLF7	CMTM7 CKLFSF7	CKLF-like MARVEL transmembrane domain-containing protein 7 (Chemokine-like factor superfamily member 7)
Q08499	PDE4D	PDE4D DPDE3	3',5'-cyclic-AMP phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43) (cAMP-specific phosphodiesterase 4D)
Q7Z2K6	ERMP1	ERMP1 FXNA KIAA1815	Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)
Q9HAU4	SMUF2	SMURF2	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)
Q86VR2	RETR3	RETREG3 FAM134C	Reticulophagy regulator 3
O95613	PCNT	PCNT KIAA0402 PCNT2	Pericentrin (Kendrin) (Pericentrin-B)
Q04917	1433F	YWHAH YWHA1	14-3-3 protein eta (Protein AS1)
P01036	CYTS	CST4	Cystatin-S (Cystatin-4) (Cystatin-SA-III) (Salivary acidic protein 1)
P62487	RPB7	POLR2G RPB7	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)
Q9Y4Y9	LSM5	LSM5	U6 snRNA-associated Sm-like protein LSm5
P06213	INSR	INSR	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]
Q6ZMZ0	RN19B	RNF19B IBRDC3 NKLAM	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)
Q8N335	GPD1L	GPD1L KIAA0089	Glycerol-3-phosphate dehydrogenase 1-like protein (GPD1-L) (EC 1.1.1.8)
Q15397	PUM3	PUM3 cPERP-C KIAA0020 PUF-A XTP5	Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8)
